3M Precise Skin Staplers[3M Health Care],Precise disposable Skin Staplers can be used for skin closure of a wide variety of wounds and surgical incisions.,General Hospital,Class B medical device,DE0011019,20/09/2012,41338,"[Sterile Medical Device], Sterilized by irradiation in accordance to ISO 11137","1.  3M Health Care 
       [3M Health Care] 2510 Conway Ave., St. Paul, MN 55144, UNITED STATES","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C4063E464B-i12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M Filtek™ Supreme Flowable Restorative[3M ESPE Dental],"Filtek™ Supreme Flowable Restorative is a low viscosity, visible-light activated, radiopaque, flowable nanocomposite. It is indicated for Class III and V restorations, Restoration of minimally invasive cavity preparations (including small, non stress bearing occlusal restorations), Base/liner under direct restorations, Repair of small defects in esthetic indirect restorations, Pit and fissure sealant, Undercut blockout, Repair of resin and acrylic temporary materials",Dental,Class B medical device,DE0011059,24/09/2012,21/04/2020,,"1.  3M ESPE Dental Products 
       [3M ESPE Dental] 3M Center, St. Paul, MN 55144-1000, UNITED STATES","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C4063F544C-i12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M Lava™ Esthetic Fluorescent Full-Contour Zirconia[3M Deutschland GmbH],"Lava Esthetic zirconia can be used to fabricate the following restorations for anterior and posterior teeth when the prescribed wall thicknesses and connector cross-sectional areas are followed:
•	Single crowns
•	Bridges with a maximum of one pontic between two crowns
•	Inlays, onlays, and veneers",Dental,Class B medical device,DE0019217,28/04/2017,Not Applicable,,"1.  3M Deutschland GmbH 
       [3M Deutschland GmbH] Carl-Schurz-Straße 1, 41453 Neuss, GERMANY","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C4100E4E51-i17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M Ranger™ Irrigation Fluid Warming System[3M Company],The Ranger irrigation fluid warming system is intended to warm irrigation fluids.,General Hospital,Class B medical device,DE0500526,18/04/2017,30/04/2021,,"1.  3M Company 
       [3M Company] 2510 Conway Avenue, St Paul, 55144, Minnesota, UNITED STATES","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C44A0B5D5C-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M Unitek Transbond™ PLUS Color Change Adhesive[3M Unitek],"Transbond PLUS Color Change Adhesive is designed for bonding ceramic and metal orthodontic brackets. Transbond PLUS Color Change Adhesive is not indicated for use with plastic (polycarbonate) brackets.
Transbond PLUS Color Change Adhesive is not indicated for use with other orthodontic applications where the cured adhesive is exposed and not covered by appliances.",Dental,Class B medical device,DE0010055,4/9/2012,44442,,"1.  3M Unitek Corporation 
       [3M Unitek] 3M Company, 2724 South Peck Road, Monrovia, California, 91016, UNITED STATES","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C40627213A-i12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M Unitek Transbond™ Plus Light Cure Band Adhesive System[3M Unitek],Transbond Plus Light Cure Band Adhesive is designed for banding orthodontic appliances.,Dental,Class B medical device,DE0008064,28/11/2011,16/10/2020,,"1.  3M Unitek Corporation 
       [3M Unitek] 3M Company, 2724 South Peck Road, Monrovia, California, 91016, UNITED STATES","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C4043D0F3D-i11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M Unitek Transbond™ Plus Self Etching Primer[3M Unitek],Transbond Plus Self Etching Primer is indicated for use as a combined etchant and primer in orthodontic treatment and is for use only with light-curing direct bonding orthodontic adhesives.,Dental,Class B medical device,DE0008063,28/11/2011,Not Applicable,,"1.  3M Unitek Corporation 
       [3M Unitek] 3M Company, 2724 South Peck Road, Monrovia, California, 91016, UNITED STATES","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C4043D0F24-i11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M Unitek Transbond™ XT Light Cure Adhesive System[3M Unitek],Transbond XT adhesive is not indicated for use with plastic (polycarbonate) brackets. Transbond XT Light Cure Orthodontic Adhesive is designed for bonding ceramic and metal orthodontic brackets.,Dental,Class B medical device,DE0008059,25/11/2011,44348,,"1.  3M Unitek Corporation 
       [3M Unitek] 3M Company, 2724 South Peck Road, Monrovia, California, 91016, UNITED STATES","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C4043C313F-i11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M™  ESPE™  Filtek™ Z250 XT Nano Hybrid Universal Restorative[3M ESPE],"Filtek Z250 XT Nano Hybrid Universal Restorative is indicated for use in:
• Direct anterior and posterior restorations including occlusal surfaces 
• Core Build-ups 
• Splinting 
• Indirect restorations including inlays, onlays and veneers",Dental,Class B medical device,DE0011061,24/09/2012,23/01/2019,,"1.  3M ESPE Dental Products 
       [3M ESPE] 2510 Conway Avenue, St Paul, MN 55144-1000 USA, UNITED STATES","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C4063F5541-i12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M™ Bair Hugger™ Patient Adjustable Warming Unit[3M Company],The Model 875 patient adjustable warming unit is indicated for patient warming. This patient adjustable warming unit has been designed for use with the Bair Hugger warming gowns in all preoperative and postoperative settings for pediatric and adult patients.,General Hospital,Class B medical device,DE0501567,25/04/2018,30/04/2021,,"1.  3M Company 
       [3M Company] 2510 Conway Avenue, St Paul, 55144, Minnesota, UNITED STATES","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C45F235B5E-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M™ Bair Hugger™ Temperature Warming Units[3M Company],"The Bair Hugger Total Temperature Management system is intended to prevent and treat hypothermia. In addition, the temperature management system can be used to provide patient thermal comfort when conditions exist that may cause patients to become too warm or too cold. The temperature management system can be used with adult and pediatric patients.",General Hospital,Class C medical device,DE0002084,4/11/2005,30/04/2021,,"1.  3M Company 
       [3M Company] 2510 Conway Avenue, St Paul, 55144, Minnesota, UNITED STATES","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C3074232-i05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M Filtek™ Supreme Flowable Restorative[3M ESPE Dental],"Filtek™ Supreme Flowable Restorative is a low viscosity, visible-light activated, radiopaque, flowable nanocomposite. It is indicated for Class III and V restorations, Restoration of minimally invasive cavity preparations (including small, non stress bearing occlusal restorations), Base/liner under direct restorations, Repair of small defects in esthetic indirect restorations, Pit and fissure sealant, Undercut blockout, Repair of resin and acrylic temporary materials",Dental,Class B medical device,DE0011059,24/09/2012,21/04/2020,,"1.  3M ESPE Dental Products 
       [3M ESPE Dental] 3M Center, St. Paul, MN 55144-1000, UNITED STATES","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C4063F544C-i12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE Iso-Form™ Crowns[3M ESPE],Prefabricated crowns for short-term restoration of molars and bicuspids.,Dental,Class B medical device,DE0003682,28/06/2006,43414,,"1.  3M ESPE Dental Products Division 
       [3M ESPE] 3M Center, Building 260-2A-11, St Paul, MN 55144-1000, UNITED STATES","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059"," https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C30B1E4A-i06 
 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE Ketac™ Cem Aplicap™[3M Deutschland GmbH],"Indicated for:
• Cementation of inlays, onlays, crowns, and bridges made of metal, with metal
frameworks, made of high-strength ceramic or composite, provided they are
suitable for conventional cementation
• Cementation of crowns and bridges made of metal, with metal frameworks,
made of high-strength ceramic or composite, provided they are suitable for
conventional cementation, on implant abutments
• Cementation of posts and screws made of metal or high-strength ceramic,
provided they are suitable for conventional cementation
• Cementation of orthodontic bands",Dental,Class B medical device,DE0003615,8/6/2006,41403,,"1.  3M Deutschland GmbH 
       [3M Deutschland GmbH] Carl-Schurz-Straße 1, 41453 Neuss, GERMANY","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059","  https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C30B0D61-i06
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE Ketac™ Cem Easymix[3M Deutschland GmbH],"Indicated for
• Cementation of inlays, onlays, crowns, and bridges made of metal, with metal
frameworks, made of high-strength ceramic or composite, provided they are
suitable for conventional cementation
• Cementation of crowns and bridges made of metal, with metal frameworks,
made of high-strength ceramic or composite, provided they are suitable for
conventional cementation, on implant abutments
• Cementation of posts and screws made of metal or high-strength ceramic,
provided they are suitable for conventional cementation
• Cementation of orthodontic bands",Dental,Class B medical device,DE0003613,8/6/2006,43742,,"1.  3M Deutschland GmbH 
       [3M Deutschland GmbH] Carl-Schurz-Straße 1, 41453 Neuss, GERMANY","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059","  https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C30B0D54-i06
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
