Labname,LicenseeName,LicencePeriod,HCICode,UEN,Tel,Fax,Adress,LaboratoryManager,SpecialTests,Url,warning,error
POLARIS LABORATORY @ GIS,Lim Kiat Hon Tony,"31/03/2020to
									30/03/2025 
										
										
											[ 5 Years ]",16I0082,52988965W,68088339,"68088305
								 ","60
						BIOPOLIS STREET
						
							GENOME (LEVEL 4)
							
						
						
						Singapore 138672",Alexander Lezhava,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=45405,,
POLARIS LABORATORY @ GIS,LIM KIAT HON TONY,"31/03/2020to
									30/03/2025 
										
										
											[ 5 Years ]",16I0083,52988965W,68088339,"68088305
								 ","60
						BIOPOLIS STREET
						
							GENOME (LEVEL 5)
							
						
						
						Singapore 138672",Alexander Lezhava,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=45406,,
POLARIS LABORATORY @ GIS,LIM KIAT HON TONY,"31/03/2020to
									30/03/2025 
										
										
											[ 5 Years ]",16I0084,52988965W,68088339,"68088305
								 ","60
						BIOPOLIS STREET
						
							GENOME (LEVEL 7)
							
						
						
						Singapore 138672",Alexander Lezhava,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=45407,,
POSTURE RAY PTE LTD,Mohd Iyaz Bin Mohd Shafi,"08/08/2019to
									07/08/2024 
										
										
											[ 5 Years ]",17X0333,201128998G,68362836,"68362806
								 ","1
						ORCHARD BOULEVARD
						
							CAMDEN MEDICAL CENTRE
							
						
						#09-01
						Singapore 248649",Mohd Iyaz Bin Mohd Shafi,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=46052,,
RADIOLOGIC CLINIC,Tsou Yu Yan Ian,"10/06/2018to
									09/06/2023 
										
										
											[ 5 Years ]",11X0002,32871800M,63884333,"67327776
								 ","3
						MOUNT ELIZABETH
						
							MOUNT ELIZABETH MEDICAL CENTRE
							
						
						#02-06 TO 08
						Singapore 228510",TEOH NYOK NAM,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=40090,,
RADIOLOGIC CLINIC,Tsou Yu Yan Ian,"21/08/2018to
									20/08/2023 
										
										
											[ 5 Years ]",14X0253,32871800M,63884333,"62523353
								 ","38
						IRRAWADDY ROAD
						
							MOUNT ELIZABETH NOVENA HOSPITAL
							
						
						#01-13
						Singapore 329563",TEOH NYOK NAM,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=44729,,
RADIOLOGIC CLINIC,Tsou Yu Yan Ian,"24/03/2021to
									23/03/2026 
										
										
											[ 5 Years ]",17X0082,32871800M,63884333,"67327776
								 ","38
						IRRAWADDY ROAD
						
							MOUNT ELIZABETH NOVENA HOSPITAL
							
						
						#01-03/04
						Singapore 329563",TEOH NYOK NAM,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=45799,,
RADIOLOGIC CLINIC,Goh Seow Kuang Jeffrey,"09/03/2020to
									08/03/2022 
										
										
											[ 2 Years ]",20X0062,198203228R,65137715,"65137529
								 ","33
						SENGKANG WEST AVENUE
						
							THE SELETAR MALL
							
						
						#01-54
						Singapore 797653",Teoh Nyok Nam Raye,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=47164,,
RADIOLOGIC CLINIC - BREAST IMAGING CENTRE,"LIU TZE HSIEN, EUGENE","08/06/2018to
									07/06/2023 
										
										
											[ 5 Years ]",9700100,32871800M,67321166,"67325933
								 ","290
						ORCHARD RD
						
							PARAGON
							
						
						#07-04/05/06
						Singapore 238859",TEOH NYOK NAM,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=1480,,
RADLINK  (NOVENA) DIAGNOSTIC IMAGING PTE LTD,Chotai Niketa Chandrakant,"21/10/2020to
									20/10/2022 
										
										
											[ 2 Years ]",18X0011,200304466N,68360808,"68368484
								 ","101
						IRRAWADDY ROAD
						
							ROYAL SQUARE AT NOVENA
							
						
						#10-01-05
						Singapore 329565",Chotai Niketa Chandrakant,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=46181,,
RADLINK DIAGNOSTIC IMAGING (S) PTE LTD,CHONG LAI MING JUNE,"03/03/2021to
									02/03/2023 
										
										
											[ 2 Years ]",9700103,200003687M,68360808,"68368484
								 ","290
						ORCHARD ROAD
						
							PARAGON
							
						
						#08-04, #08-07 TO 12
						Singapore 238859",Eng Chee Way,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=1500,,
RADLINK PET AND CARDIAC IMAGING CENTRE PTE LTD,Keng Han Weng Gilbert,"10/02/2020to
									09/02/2022 
										
										
											[ 2 Years ]",9700236,200711085N,68361318,"68361381
								 ","290
						ORCHARD ROAD
						
							PARAGON
							
						
						#08-05/06
						Singapore 238859",Del Valle Sheryl Ann Icawat,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=37660,,
RADLINK PET CENTRE (GEMINI) PTE LTD,Keng Han Weng Gilbert,"10/09/2019to
									09/09/2021 
										
										
											[ 2 Years ]",17X0275,200805505R,68361318,"67770663
								 ","41
						SCIENCE PARK ROAD,THE GEMINI
						
							SCIENCE PARK II
							
						
						#01-15
						Singapore 117610",De Leon Alexis Tiongson,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=45992,,
RADOC IMAGING RADIOLOGY CENTRE,LIM PUAY JOO,"21/10/2020to
									20/10/2022 
										
										
											[ 2 Years ]",17X0359,201708719M,67813818,"67813829
								 ","1
						RAFFLES PLACE
						
							ONE RAFFLES PLACE SHOPPING MALL
							
						
						#05-20
						Singapore 048616",Yin Min Hla,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=46077,,
RAPHA RADIOLOGY @ PARKROYAL,Tan Kim Ping,"14/06/2021to
									13/06/2023 
										
										
											[ 2 Years ]",18X0277,201134851W,62928966,"62934071
								 ","181
						KITCHENER ROAD
						
							PARKROYAL ON KITCHENER ROAD
							
						
						#01-14/15/16
						Singapore 208533",Tay Yong Teck Benjamin,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=46657,,
RAPHA RADIOLOGY @ UPPER WELD,Cheong Wing Yee Mrs. Wang Wing Yee,"11/01/2021to
									10/01/2023 
										
										
											[ 2 Years ]",19X0015,201134851W,62952477,"62952477
								 ","BLK 
					   
						633
						VEERASAMY ROAD
						
						#01-120
						Singapore 200633",Tay Yong Teck Benjamin,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=46777,,
RAFFLESDIAGNOSTICA,LOH WEE TIONG ALFRED,"27/03/2021to
									26/03/2023 
										
										
											[ 2 Years ]",9700042,199202734G,63111760,"63111194
								 ","585
						NORTH BRIDGE ROAD
						
							RAFFLES HOSPITAL
							
						
						
						Singapore 188770",ANASTACIA PAJARILLAGA,Acid-Fast Bacilli (Smear) TestBlood Group ABO and Rhesus (D) Type TestsHuman Immunodeficiency Virus (HIV) TestMalaria Parasite Test,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=1510,,
RAFFLESDIAGNOSTICA,Neo Wee Thong,"13/01/2020to
									12/01/2022 
										
										
											[ 2 Years ]",13X0002,199202734G,63111111,"63111192
								 ","585
						NORTH BRIDGE ROAD
						
							LEVEL 11, RAFFLES SPECIALIST CENTRE, RADIOLOGY DEPARTMENT
							
						
						
						Singapore 188770",Santhosh Kumar Radhakrishnan Nair,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=43351,,
RAFFLESDIAGNOSTICA,Hegde Amogh Narayan,"05/05/2021to
									04/05/2023 
										
										
											[ 2 Years ]",17X0151,199202734G,68380080,"68388885
								 ","1
						SCOTTS ROAD
						
							SHAW CENTRE
							
						
						#04-09 TO 14
						Singapore 228208",SANTHOSH KUMAR RADHAKRISHNAN NAIR,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=45869,,
RAFFLESDIAGNOSTICA,Neo Wee Thong,"23/05/2021to
									22/05/2023 
										
										
											[ 2 Years ]",17X0152,199202734G,62418818,"62413498
								 ","65
						AIRPORT BOULEVARD
						
							CHANGI AIRPORT TERMINAL 3
							
						
						#B2-01
						Singapore 819663",SANTHOSH KUMAR RADHAKRISHNAN NAIR,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=45870,,
RAFFLESDIAGNOSTICA,Hegde Amogh Narayan,"23/05/2021to
									22/05/2023 
										
										
											[ 2 Years ]",17X0153,199202734G,62501411,"63112390
								 ","118
						HOLLAND AVENUE
						
							RAFFLES HOLLAND V
							
						
						#05-02/03/04
						Singapore 278997",SANTHOSH KUMAR RADHAKRISHNAN NAIR,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=45871,,
RAFFLESDIAGNOSTICA,Neo Wee Thong,"23/05/2021to
									22/05/2023 
										
										
											[ 2 Years ]",17X0154,199202734G,62605116,"67872311
								 ","10
						TAMPINES CENTRAL 1
						
							TAMPINES ONE
							
						
						#03-28
						Singapore 529536",SANTHOSH KUMAR RADHAKRISHNAN NAIR,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=45872,,
RAFFLESDIAGNOSTICA,Hegde Amogh Narayan,"05/05/2021to
									04/05/2023 
										
										
											[ 2 Years ]",17X0205,199202734G,66360390,"66364553
								 ","12
						MARINA BOULEVARD
						
							MARINA BAY FINANCIAL CENTRE TOWER 3
							
						
						#17-05
						Singapore 018982",SANTHOSH KUMAR RADHAKRISHNAN NAIR,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=45920,,
RAFFLESDIAGNOSTICA,Neo Wee Thong,"05/05/2021to
									04/05/2023 
										
										
											[ 2 Years ]",17X0206,199202734G,65342900,"65337811
								 ","50
						RAFFLES PLACE
						
							SINGAPORE LAND TOWER
							
						
						#01-02A
						Singapore 048623",SANTHOSH KUMAR RADHAKRISHNAN NAIR,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=45921,,
RESTE LABORATORIES,Aw Tar Choon,"03/02/2021to
									02/02/2023 
										
										
											[ 2 Years ]",16I0152,201541691D,62144220,"62144255
								 ","50
						LOYANG WAY (LEVEL 2)
						
							LOYANG INDUSTRIAL ESTATE
							
						
						
						Singapore 508743",SHANTA NAIDU,Human Immunodeficiency Virus (HIV) TestMalaria Parasite Test,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=45473,,
SAC IMAGING,GOH PARK NAM JULIAN,"06/07/2019to
									05/07/2024 
										
										
											[ 5 Years ]",15X0232,199607668K,64880618,"62855100
								 ","492
						AIRPORT ROAD
						
							AEROMEDICAL CENTRE 
							
						
						
						Singapore 539945",SOH EI LING,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=45110,,
SATA COMMHEALTH DIAGNOSTICS,Tan Seng Peng,"13/07/2019to
									12/07/2021 
										
										
											[ 2 Years ]",9700218,194700119G,62446688,"62442459
								 ","715
						ANG MO KIO AVENUE 6
						
						#01-4008/4010
						Singapore 560715",Betty Mathew,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=36250,,
SATA COMMHEALTH DIAGNOSTICS,Tan Ming Loong Mark,"29/10/2020to
									28/10/2022 
										
										
											[ 2 Years ]",9700219,201939424E,62446688,"64494924
								 ","351
						Chai Chee Street
						
							SATA CommHealth Building
							
						
						
						Singapore 468982",Betty Mathew,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=36251,,
SATA COMMHEALTH DIAGNOSTICS,Tan Ming Loong Mark,"23/10/2020to
									22/10/2022 
										
										
											[ 2 Years ]",9700220,194700119G,62446688,"68963624
								 ","135
						Jurong Gateway Road
						
						#04-345
						Singapore 600135",BETTY MATHEW,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=36252,,
SATA COMMHEALTH DIAGNOSTICS,Tan Seng Peng,"13/07/2019to
									12/07/2021 
										
										
											[ 2 Years ]",9700221,194700119G,62446688,"67671717
								 ","900
						South Woodlands Drive
						
							Woodlands Civic Centre
							
						
						#04-01
						Singapore 730900",Betty Mathew,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=36253,,
SATA COMMHEALTH DIAGNOSTICS,Tan Seng Peng,"14/02/2021to
									13/02/2026 
										
										
											[ 5 Years ]",17X0027,194700119G,62446688,"67020649
								 ","5
						TAMPINES CENTRAL 6
						
							TELEPARK
							
						
						#01-01A
						Singapore 529482",Betty Mathew,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=45744,,
SATA COMMHEALTH DIAGNOSTICS,Lau Chin Wah,"15/03/2021to
									14/03/2026 
										
										
											[ 5 Years ]",17X0279,194700119G,62446688,"62443023
								 ","1
						SIANG KUANG AVENUE
						
						
						Singapore 347919",Betty Mathew,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=45996,,
SATA COMMHEALTH DIAGNOSTICS,Khor Lih Kin,"06/03/2021to
									05/03/2023 
										
										
											[ 2 Years ]",19X0069,194700119G,62446688,"62443023
								 ","BLK 
					   
						447B
						JALAN KAYU
						
							FERNVALE LODGE
							
						
						#01-01
						Singapore 792447",Betty Mathew,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=46830,,
SBF MRI CENTRE,Anthony Joseph Stanley,"18/11/2020to
									17/11/2022 
										
										
											[ 2 Years ]",18X0337,201814105E,62825093,"62824690
								 ","160
						ROBINSON ROAD
						
							SBF CENTER - MEDIPLEX
							
						
						#05-04
						Singapore 068914",Anthony Joseph Stanley,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=46713,,
SHP CLINICAL LABORATORY,Yeo Chin Pin,"21/11/2019to
									20/11/2021 
										
										
											[ 2 Years ]",17I0371,52928775K,66436969,"64448056
								 ","681
						PUNGGOL DRIVE
						
							OASIS TERRACES SINGHEALTH POLYCLINICS - PUNGGOL
							
						
						#02-01
						Singapore 820681",Yeo Chin Pin,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=46089,,
SHP DIAGNOSTIC RADIOLOGY,Chen Robert,"23/09/2018to
									22/09/2023 
										
										
											[ 5 Years ]",9700118,52928775K,63507413,"62726220
								 ","BLK 
					   
						163
						BT MERAH CTRL 
						
							SINGHEALTH POLYCLINICS-BUKIT MERAH
							
						
						#04-3565
						Singapore 150163",Kalsom Binte Salamat,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=45617,,
SHP DIAGNOSTIC RADIOLOGY,Albert Low Su Chong,"23/09/2018to
									22/09/2023 
										
										
											[ 5 Years ]",9700153,52928775K,63507378,"64897716
								 ","2
						SENGKANG SQUARE
						
							SINGHEALTH POLYCLINICS-SENGKANG 
							
						
						#01-06
						Singapore 545025",Kalsom Bte Salamat,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=45618,,
SHP DIAGNOSTIC RADIOLOGY,Albert Low Su Chong,"23/09/2018to
									22/09/2023 
										
										
											[ 5 Years ]",9700141,52928775K,63507347,"67830157
								 ","1
						TAMPINES STREET 41
						
							SINGHEALTH POLYCLINICS-TAMPINES 
							
						
						
						Singapore 529203",Kalsom Bte Salamat,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=45620,,
SHP DIAGNOSTIC RADIOLOGY,P Chandra Mohan,"23/09/2018to
									22/09/2023 
										
										
											[ 5 Years ]",9700120,52928775K,63507332,"65852524
								 ","1
						PASIR RIS DRIVE 4
						
							SINGHEALTH POLYCLINICS-PASIR RIS 
							
						
						#01-11
						Singapore 519457",Kalsom Bte Salamat,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=45622,,
SHP DIAGNOSTIC RADIOLOGY,P Chandra Mohan,"23/09/2020to
									22/09/2025 
										
										
											[ 5 Years ]",16L0039,52928775K,63507316,"63482024
								 ","BLK 
					   
						80
						MARINE PARADE CENTRAL
						
							SINGHEALTH POLYCLINICS 
							
						
						#01-792
						Singapore 440080",Kalsom Binte Salamat,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=45623,,
SHP DIAGNOSTIC RADIOLOGY,Ching Boon Chye,"21/11/2019to
									20/11/2021 
										
										
											[ 2 Years ]",17X0372,52928775K,67182094,"64440682
								 ","681
						PUNGGOL DRIVE
						
							OASIS TERRACES SINGHEALTH POLYCLINIC-PUNGGOL
							
						
						#02-01
						Singapore 820681",KALSOM SALAMAT,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=46090,,
SHP DIAGNOSTIC RADIOLOGY,Ching Boon Chye,"04/07/2020to
									03/07/2022 
										
										
											[ 2 Years ]",18X0175,52928775K,63507395,"64356171
								 ","3
						SECOND HOSPITAL AVENUE
						
							HEALTH PROMOTION BOARD BLDG, SINGHEALTH POLYCLINICS-OUTRAM
							
						
						#04-03
						Singapore 168937",Kalsom Bte Salamat,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=46535,,
SHP DIAGNOSTIC RADIOLOGY,Chen Robert,"21/03/2021to
									20/03/2023 
										
										
											[ 2 Years ]",17X0223,52928775K,62021048,"64467052
								 ","11
						BEDOK NORTH ST 1 LEVEL 3
						
							SINGHEALTH POLYCLINICS-BEDOK
							
						
						
						Singapore 469662",Kalsom Binte Salamat,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=45943,,
SINCERE ANDROLOGY LABORATORY,KWAN YIN WAI CAROL,"13/09/2019to
									12/09/2021 
										
										
											[ 2 Years ]",13I0240,201314746R,65070438,"67343034
								 ","8
						SINARAN DRIVE
						
							NOVENA SPECIALIST CENTER
							
						
						#06-12
						Singapore 307470",KWAN YIN WAI CAROL,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=44344,,
STRONGHOLD DIAGNOSTICS LAB,Yan Junrong Benedict,"21/05/2020to
									20/05/2022 
										
										
											[ 2 Years ]",20I0178,199702110H,68088000,"68088292
								 ","30
						BIOPOLIS STREET
						
							MATRIX BUILDING, LONG QUARANTINE ROOM, BASEMENT 1, LOADING BAY 11
							
						
						
						Singapore 138671",Alexander Lezhava,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=47226,,
STRONGHOLD DIAGNOSTICS LAB,Yan Junrong Benedict,"21/05/2020to
									20/05/2022 
										
										
											[ 2 Years ]",20I0179,199702110H,68088338,"68088292
								 ","60
						BIOPOLIS STREET
						
							GENOME
							
						
						#07-01A, 01B, 02, 03
						Singapore 138672",Alexander Lezhava,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=47227,,
STRONGHOLD DIAGNOSTICS LAB @ NANOS,Yan Junrong Benedict,"09/07/2020to
									08/07/2022 
										
										
											[ 2 Years ]",20I0198,199702110H,68088364,"68088365
								 ","31
						BIOPOLIS WAY
						
							NANOS
							
						
						#03-00
						Singapore 138669",Alexander Lezhava,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=47246,,
STRONGHOLD DIAGNOSTICS LAB @ NANOS,Yan Junrong Benedict,"05/11/2020to
									04/11/2022 
										
										
											[ 2 Years ]",20I0308,199702110H,68088365,"68088365
								 ","31
						BIOPOLIS WAY
						
							NANOS
							
						
						#02-20
						Singapore 138669",Alexander Lezhava,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=47417,,
TAMAN IMAGING CENTRE,MAHENDRAN NADARAJAH,"23/03/2020to
									22/03/2025 
										
										
											[ 5 Years ]",16X0073,197300761M,62656422,"62662777
								 ","BLK 
					   
						64
						YUNG KUANG ROAD
						
						#01-107/111
						Singapore 610064",MAHENDRAN NADARAJAH,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=45396,,
